<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20090703;000000;2063.6900000;2091.3900000;2020.5700000;2073.9500000;39222936633
RI.MICEX10INDEX;D;20090706;000000;2046.0200000;2046.0200000;1962.2400000;1966.3800000;37830794880
RI.MICEX10INDEX;D;20090707;000000;1980.0400000;2036.4900000;1954.6400000;1981.9400000;47236523073
RI.MICEX10INDEX;D;20090708;000000;1951.8800000;1957.7900000;1898.6800000;1914.9400000;45342534403
RI.MICEX10INDEX;D;20090709;000000;1916.9700000;1951.6200000;1894.4900000;1901.3200000;46364520361
RI.MICEX10INDEX;D;20090710;000000;1906.7600000;1909.9900000;1830.4200000;1835.9800000;41072674226
RI.MICEX10INDEX;D;20090713;000000;1816.0300000;1884.8000000;1782.4700000;1856.1000000;55253403927
RI.MICEX10INDEX;D;20090714;000000;1898.9600000;1944.9800000;1879.4500000;1881.2800000;66289014016
RI.MICEX10INDEX;D;20090715;000000;1912.2800000;1988.4100000;1912.2800000;1988.4100000;48780145591
RI.MICEX10INDEX;D;20090716;000000;1995.0400000;2018.9000000;1956.6300000;1987.3300000;54082072849
RI.MICEX10INDEX;D;20090717;000000;1993.4900000;2051.3600000;1978.8700000;2046.2000000;49396507546
RI.MICEX10INDEX;D;20090720;000000;2073.4000000;2119.4400000;2071.5300000;2082.6700000;49558769066
RI.MICEX10INDEX;D;20090721;000000;2084.7300000;2152.4500000;2060.2900000;2114.6800000;70045011880
RI.MICEX10INDEX;D;20090722;000000;2112.3200000;2139.4600000;2051.0700000;2056.8000000;54480732290
RI.MICEX10INDEX;D;20090723;000000;2070.9000000;2174.9100000;2070.9000000;2171.7900000;58228357330
RI.MICEX10INDEX;D;20090724;000000;2175.3200000;2201.3900000;2151.7500000;2166.5300000;51659083308
RI.MICEX10INDEX;D;20090727;000000;2194.1400000;2237.0600000;2184.4600000;2193.2100000;51600172509
RI.MICEX10INDEX;D;20090728;000000;2200.7400000;2231.6600000;2112.7100000;2120.1000000;60960778104
RI.MICEX10INDEX;D;20090729;000000;2097.5100000;2127.1400000;2067.2300000;2087.3300000;52288107249
RI.MICEX10INDEX;D;20090730;000000;2098.7400000;2219.1900000;2098.7400000;2213.0500000;63028109524
RI.MICEX10INDEX;D;20090731;000000;2230.8800000;2244.2800000;2162.6900000;2239.8900000;69858660275
RI.MICEX10INDEX;D;20090803;000000;2255.6400000;2341.0100000;2255.6400000;2337.6800000;77787722798
RI.MICEX10INDEX;D;20090804;000000;2331.0100000;2346.8200000;2283.4400000;2345.0200000;56725282563
RI.MICEX10INDEX;D;20090805;000000;2338.4700000;2412.6800000;2299.8500000;2306.9900000;78474500664
RI.MICEX10INDEX;D;20090806;000000;2336.4100000;2393.5800000;2307.8300000;2338.4200000;88716741197
RI.MICEX10INDEX;D;20090807;000000;2325.8800000;2398.5100000;2278.5200000;2387.5400000;69015295159
RI.MICEX10INDEX;D;20090810;000000;2380.1400000;2405.0100000;2334.2900000;2358.7700000;55400791335
RI.MICEX10INDEX;D;20090811;000000;2366.2700000;2386.6300000;2284.3700000;2289.3500000;58534622282
RI.MICEX10INDEX;D;20090812;000000;2280.6300000;2343.9500000;2232.8200000;2336.6600000;65696076243
RI.MICEX10INDEX;D;20090813;000000;2352.2800000;2412.3500000;2323.2300000;2368.1200000;67656132355
RI.MICEX10INDEX;D;20090814;000000;2370.5000000;2382.2200000;2300.0200000;2306.7800000;45237019458
RI.MICEX10INDEX;D;20090817;000000;2238.8900000;2250.6500000;2203.1000000;2215.2600000;39722053186
RI.MICEX10INDEX;D;20090818;000000;2241.8500000;2274.9200000;2208.0700000;2236.8200000;54824837585
RI.MICEX10INDEX;D;20090819;000000;2244.2800000;2244.8800000;2179.0400000;2221.9300000;44620387976
RI.MICEX10INDEX;D;20090820;000000;2251.2100000;2279.0300000;2228.5400000;2278.0200000;42406868154
RI.MICEX10INDEX;D;20090821;000000;2262.7300000;2372.2500000;2245.4600000;2372.1100000;62906005057
RI.MICEX10INDEX;D;20090824;000000;2389.4600000;2434.0500000;2355.6300000;2409.0900000;62880792680
